run	f1	recall	precision	specifity	runtime	Gesamtanzahl Artikel	Anteil Artikel in Test.tsv zu ges.	Gesamtanzahl Sätze	 Anteil Sätze in Test.tsv zu ges.	Gesamtanzahl Interactions	Anteil Interactions in Test.tsv zu ges.	Gesamtes 0/1 Verhältnis	1/0 Verhältnis test.tsv	1/0 Verhältnis train.tsv	1/0 Verhältnis test/train.tsv
DS-1	0.84	0.863	0.82	0.788	0h 48min 11sek	1806	0.3998	2611	0.3972	5549	0.4033	0.8952	0.8982	0.8931	1.0058
DS-10	0.839	0.864	0.816	0.784	0h 54min 59sek	1806	0.3998	2611	0.3975	5549	0.3977	0.8952	0.8993	0.8924	1.0077
DS-2	0.84	0.87	0.812	0.774	0h 48min 32sek	1806	0.3998	2611	0.396	5549	0.3977	0.8952	0.8912	0.8978	0.9926
DS-3	0.836	0.863	0.812	0.776	0h 49min 7sek	1806	0.3998	2611	0.401	5549	0.3992	0.8952	0.8899	0.8986	0.9903
DS-4	0.844	0.892	0.801	0.753	0h 48min 14sek	1806	0.3998	2611	0.4021	5549	0.4039	0.8952	0.8992	0.8924	1.0075
DS-5	0.826	0.846	0.806	0.772	0h 48min 16sek	1806	0.3998	2611	0.3995	5549	0.4037	0.8952	0.8935	0.8963	0.9969
DS-6	0.824	0.831	0.817	0.793	0h 54min 58sek	1806	0.3998	2611	0.3998	5549	0.3995	0.8952	0.8933	0.8964	0.9965
DS-7	0.841	0.882	0.803	0.76	0h 54min 59sek	1806	0.3998	2611	0.4025	5549	0.3994	0.8952	0.9005	0.8916	1.01
DS-8	0.852	0.896	0.811	0.766	0h 55min 18sek	1806	0.3998	2611	0.3991	5549	0.3963	0.8952	0.8908	0.898	0.992
DS-9	0.825	0.871	0.784	0.733	0h 54min 32sek	1806	0.3998	2611	0.4002	5549	0.4033	0.8952	0.8998	0.892	1.0088
Mittelwert	0.837	0.868	0.808	0.77	0h 51min 43sek	1806	0.3998	2611	0.3995	5549	0.4004	0.8952	0.8956	0.8949	1.0008
Standardabweichung:	0.009	0.02	0.01	0.018	0h 3min 26sek	0.0	0.0	0.0	0.0021	0.0	0.0029	0.0	0.0042	0.0028	0.0079
