run	f1	recall	precision	specifity	runtime	anzahl rel in test.tsv	davon anzahl der abstracts	anzahl rel in train.tsv	 davon anzahl der abstracts	gesamtanzahl rel	gesamtanzahl Abstracts	anteil test rel an rel ges	1/0 Verhältnis test.tsv	1/0 Verhältnis train.tsv	1/0 Verhältnis test/train.tsv
DS-1	0.789	0.836	0.747	0.684	0h 18min 29sek	4959	2350.0	588.0	261.0	5547.0	2611.0	0.894	0.895	0.903	0.991
DS-10	0.752	0.734	0.772	0.757	0h 15min 51sek	5007	2350.0	540.0	261.0	5547.0	2611.0	0.903	0.895	0.895	1.0
DS-2	0.795	0.828	0.764	0.714	0h 16min 16sek	4999	2350.0	548.0	261.0	5547.0	2611.0	0.901	0.894	0.903	0.991
DS-3	0.802	0.863	0.749	0.677	0h 16min 16sek	4980	2350.0	567.0	261.0	5547.0	2611.0	0.898	0.894	0.903	0.991
DS-4	0.772	0.786	0.758	0.72	0h 16min 16sek	4973	2350.0	574.0	261.0	5547.0	2611.0	0.897	0.895	0.894	1.001
DS-5	0.768	0.793	0.743	0.694	0h 15min 37sek	5026	2350.0	521.0	261.0	5547.0	2611.0	0.906	0.896	0.888	1.009
DS-6	0.788	0.86	0.727	0.638	0h 16min 26sek	4962	2350.0	585.0	261.0	5547.0	2611.0	0.895	0.894	0.899	0.994
DS-7	0.771	0.817	0.729	0.66	0h 16min 8sek	4991	2350.0	556.0	261.0	5547.0	2611.0	0.9	0.894	0.898	0.996
DS-8	0.773	0.789	0.757	0.717	0h 16min 31sek	4960	2350.0	587.0	261.0	5547.0	2611.0	0.894	0.895	0.894	1.002
DS-9	0.771	0.759	0.782	0.764	0h 16min 20sek	4972	2350.0	575.0	261.0	5547.0	2611.0	0.896	0.896	0.898	0.998
Mittelwert	0.778	0.806	0.753	0.703	0h 16min 25sek	4982.9	2350.0	564.1	261.0	5547.0	2611.0	0.8984	0.8948	0.8975	0.9973
Standardabweichung:	0.015	0.042	0.018	0.04	0h 0min 46sek	22.4125	0.0	22.4125	0.0	0.0	0.0	0.004	0.0008	0.0049	0.0059
