run	f1	recall	precision	specifity	runtime
DS-1	0.814	0.896	0.745	0.657	0h 26min 19sek
DS-10	0.795	0.808	0.782	0.748	0h 26min 7sek
DS-2	0.795	0.835	0.759	0.703	0h 27min 16sek
DS-3	0.807	0.846	0.772	0.721	0h 26min 56sek
DS-4	0.788	0.801	0.776	0.741	0h 27min 8sek
DS-5	0.779	0.789	0.769	0.736	0h 27min 14sek
DS-6	0.792	0.873	0.725	0.629	0h 26min 35sek
DS-7	0.809	0.903	0.732	0.63	0h 26min 59sek
DS-8	0.803	0.86	0.752	0.683	0h 26min 26sek
DS-9	0.797	0.84	0.757	0.699	0h 26min 35sek
Mittelwert	0.798	0.845	0.757	0.695	0h 26min 46sek
Standardabweichung:	0.011	0.039	0.019	0.044	0h 0min 25sek
