run	f1	recall	precision	specifity	runtime
DS-1	0.754	0.802	0.712	0.636	0h 18min 19sek
DS-10	0.764	0.778	0.75	0.711	0h 18min 23sek
DS-2	0.754	0.76	0.747	0.713	0h 18min 57sek
DS-3	0.789	0.848	0.738	0.663	0h 18min 31sek
DS-4	0.737	0.707	0.769	0.764	0h 19min 9sek
DS-5	0.767	0.763	0.771	0.746	0h 18min 58sek
DS-6	0.716	0.661	0.78	0.792	0h 19min 2sek
DS-7	0.795	0.902	0.711	0.59	0h 18min 51sek
DS-8	0.758	0.786	0.732	0.678	0h 19min 9sek
DS-9	0.771	0.832	0.719	0.636	0h 18min 58sek
Mittelwert	0.76	0.784	0.743	0.693	0h 18min 50sek
Standardabweichung:	0.023	0.069	0.025	0.064	0h 0min 19sek
